Регіон,Середній бал укр.мова/укр.літ (зараховано) 2019,Середній бал укр.мова/укр.літ (зараховано) 2020
Івано-Франківська область,140.31,145.37
Волинська область,142.88,145.30
Вінницька область,139.33,143.13
Дніпропетровська область,139.38,141.49
Донецька область,139.32,140.45
Житомирська область,141.15,143.96
Закарпатська область,132.36,136.05
Запорізька область,138.23,138.91
Київська область,144.16,144.29
Кіровоградська область,139.76,141.42
Луганська область,138.63,140.94
Львівська область,146.75,151.44
Миколаївська область,137.87,138.96
Одеська область,137.61,140.68
Полтавська область,141.14,143.06
Рівненська область,139.11,145.51
Сумська область,140.86,145.08
Тернопільська область,141.19,144.69
Харківська область,144.12,145.49
Херсонська область,137.66,139.02
Хмельницька область,140.45,144.19
Черкаська область,142.10,143.39
Чернівецька область,133.19,141.00
Чернігівська область,143.22,143.76
м.Київ,148.03,150.52
